//TMR4
TMR4,40017000,2,2,6,2,A,2,E,2,12,2,16,2,18,2,1A,2,1C,2,1E,2,20,2,22,2,24,2,28,4,2C,2,30,4,34,2,38,4,42,2,46,2,48,2,4A,2,82,2,84,2,86,2,8A,2,8C,2,8E,2,92,2,94,2,96,2,98,2,9C,2,A0,2,A4,2,B2,2,B6,2,BA,2,BE,2,C2,2,C6,2,C8,2,CA,2,CC,2,CE,2,D0,2,D2,2,D4,2,D6,2,D8,2,DA,2,DC,2,DE,2,E0,4,E4,2,

//TMR4_OCCRuh  General Compare Value UH Register
TMR4_OCCRuh,2,16,rw,0000,FFFF,$,

//TMR4_OCCRul  General Compare Value UL Register
TMR4_OCCRul,6,16,rw,0000,FFFF,$,

//TMR4_OCCRvh  General Compare Value VH Register
TMR4_OCCRvh,A,16,rw,0000,FFFF,$,

//TMR4_OCCRvl  General Compare Value VL Register
TMR4_OCCRvl,E,16,rw,0000,FFFF,$,

//TMR4_OCCRwh  General Compare Value WH Register
TMR4_OCCRwh,12,16,rw,0000,FFFF,$,

//TMR4_OCCRwl  General Compare Value WL Register
TMR4_OCCRwl,16,16,rw,0000,FFFF,$,

//TMR4_OCSRu  General Control Status U Register
TMR4_OCSR#U,18,16,rw,FF00,00FF,
OCFL,7,7,rw,
OCFH,6,6,rw,
OCIEL,5,5,rw,
OCIEH,4,4,rw,
OCPL,3,3,rw,
OCPH,2,2,rw,
OCEL,1,1,rw,
OCEH,0,0,rw,$,

//TMR4_OCERu  General Expand Control U Register
TMR4_OCER#U,1A,16,rw,0000,3FFF,
MCECL,13,13,rw,
MCECH,12,12,rw,
LMML,11,11,rw,
LMMH,10,10,rw,
LMCL,9,9,rw,
LMCH,8,8,rw,
MLBUFEN,7,6,rw,
MHBUFEN,5,4,rw,
CLBUFEN,3,2,rw,
CHBUFEN,1,0,rw,$,

//TMR4_OCSRv  General Control Status V Register
TMR4_OCSR#V,1C,16,rw,FF00,00FF,/dr,TMR4_OCSR#U,

//TMR4_OCERv  General Expand Control V Register
TMR4_OCER#V,1E,16,rw,0000,3FFF,/dr,TMR4_OCER#U,

//TMR4_OCSRw  General Control Status W Register
TMR4_OCSR#W,20,16,rw,FF00,00FF,/dr,TMR4_OCSR#U,


//TMR4_OCERw  General Expand Control W Register
TMR4_OCER#W,22,16,rw,0000,3FFF,/dr,TMR4_OCER#U,

//TMR4_OCMRuh  General Mode Control UH Register
TMR4_OCMRH#UH,24,16,rw,0000,FFFF,
OPNZRH,15,14,rw,
OPNPKH,13,12,rw,
OPZRH,11,10,rw,
OPUCH,9,8,rw,
OPPKH,7,6,rw,
OPDCH,5,4,rw,
OCFZRH,3,3,rw,
OCFUCH,2,2,rw,
OCFPKH,1,1,rw,
OCFDCH,0,0,rw,$,

//TMR4_OCMRul  General Mode Control UL Register
TMR4_OCMRL#UL,28,32,rw,00000000,FFFFFFFF,
EOPNZRL,31,30,rw,
EOPNPKL,29,28,rw,
EOPZRL,27,26,rw,
EOPUCL,25,24,rw,
EOPPKL,23,22,rw,
EOPDCL,21,20,rw,
EOPNUCL,19,18,rw,
EOPNDCL,17,16,rw,
OPNZRL,15,14,rw,
OPNPKL,13,12,rw,
OPZRL,11,10,rw,
OPUCL,9,8,rw,
OPPKL,7,6,rw,
OPDCL,5,4,rw,
OCFZRL,3,3,rw,
OCFUCL,2,2,rw,
OCFPKL,1,1,rw,
OCFDCL,0,0,rw,$,

//TMR4_OCMRvh  General Mode Control VH Register
TMR4_OCMRH#VH,2C,16,rw,0000,FFFF,/dr,TMR4_OCMRH#UH,

//TMR4_OCMRvl  General Mode Control VL Register
TMR4_OCMRL#VL,30,32,rw,00000000,FFFFFFFF,/dr,TMR4_OCMRL#UL,


//TMR4_OCMRwh  General Mode Control WH Register
TMR4_OCMRH#WH,34,16,rw,0000,FFFF,/dr,TMR4_OCMRH#UH,

//TMR4_OCMRwl  General Mode Control WL Register
TMR4_OCMRL#WL,38,32,rw,00000000,FFFFFFFF,/dr,TMR4_OCMRL#UL,

//TMR4_CPSR  Period Value Register
TMR4_CPSR,42,16,rw,FFFF,FFFF,$,

//TMR4_CNTR  Counter Value Register
TMR4_CNTR,46,16,rw,0000,FFFF,$,

//TMR4_CCSR  Control Status Register
TMR4_CCSR,48,16,rw,0040,E3FF,
ECKEN,15,15,rw,
IRQZF,14,14,rw,
IRQZEN,13,13,rw,
IRQPF,9,9,rw,
IRQPEN,8,8,rw,
BUFEN,7,7,rw,
STOP,6,6,rw,
MODE,5,5,rw,
CLEAR,4,4,rw,
CKDIV,3,0,rw,$,

//TMR4_CVPR  Valid Period Register
TMR4_CVPR,4A,16,rw,0000,FFFF,
PIC,15,12,r,
ZIC,11,8,r,
PIM,7,4,rw,
ZIM,3,0,rw,$,

//TMR4_PFSRu  PWM Fliter Control U Register
TMR4_PFSRu,82,16,rw,0000,FFFF,$,

//TMR4_PDARu  PWM Deadtime Control UA Register
TMR4_PDARu,84,16,rw,0000,FFFF,$,

